TRAIN_CODE,STATION_CODE,SCHEDULE_ARRIVAL_TIME,SCHEDULE_DEPARTURE_TIME,API_ARRIVAL_TIME,API_DEPARTURE_TIME,TIME_MATCH
11UP,LLM,08:55:00,09:20:00,08:55:00,09:20:00,YES
11UP,JMR,10:00:00,10:02:00,10:00:00,10:02:00,YES
11UP,GKN,11:10:00,11:12:00,11:10:00,11:12:00,YES
11UP,RWP,12:10:00,12:40:00,12:10:00,12:40:00,YES
11UP,GLRS,12:57:00,12:59:00,12:57:00,12:59:00,YES
11UP,TXLC,13:17:00,13:19:00,13:17:00,13:19:00,YES
11UP,KJQ,13:45:00,13:47:00,13:45:00,13:47:00,YES
11UP,HRU,14:07:00,14:09:00,14:07:00,14:09:00,YES
11UP,BZD,14:28:00,14:29:00,14:28:00,14:29:00,YES
11UP,HVN,15:10:00,15:10:00,15:10:00,,YES
12DN,HVN,,14:00:00,,14:00:00,YES
12DN,BZD,14:32:00,14:33:00,14:32:00,14:33:00,YES
12DN,HRU,15:06:00,15:08:00,15:06:00,15:08:00,YES
12DN,KJQ,15:18:00,15:20:00,15:18:00,15:20:00,YES
12DN,TXLC,15:46:00,15:48:00,15:46:00,15:48:00,YES
12DN,GLRS,16:05:00,16:07:00,16:05:00,16:07:00,YES
12DN,RWP,16:25:00,16:55:00,16:25:00,16:55:00,YES
12DN,CKL,17:03:00,17:05:00,17:03:00,17:05:00,YES
12DN,GKN,17:45:00,17:47:00,17:45:00,17:47:00,YES
12DN,JMR,19:03:00,19:05:00,19:03:00,19:05:00,YES
12DN,LLM,19:50:00,20:15:00,19:50:00,20:15:00,YES
12DN,DGH,20:40:00,20:42:00,20:40:00,20:42:00,YES
12DN,MBDN,21:05:00,21:10:00,21:05:00,21:10:00,YES
12DN,MKW,21:40:00,21:45:00,21:40:00,21:45:00,YES
12DN,PHW,22:20:00,22:22:00,22:20:00,22:22:00,YES
12DN,BWQ,22:48:00,22:50:00,22:48:00,22:50:00,YES
12DN,SRQ,23:45:00,23:55:00,23:45:00,23:55:00,YES
12DN,SHND,00:19:00,00:20:00,00:19:00,00:20:00,YES
12DN,SWY,00:34:00,00:36:00,00:34:00,00:36:00,YES
12DN,JGH,02:00:00,02:05:00,02:00:00,02:05:00,YES
12DN,SKO,04:00:00,04:05:00,04:00:00,04:05:00,YES
12DN,ABK,04:30:00,04:32:00,04:30:00,04:32:00,YES
12DN,KWL,05:15:00,05:20:00,05:15:00,05:20:00,YES
12DN,MUL,06:00:00,06:30:00,06:00:00,06:30:00,YES
12DN,SJB,07:00:00,07:02:00,07:00:00,07:02:00,YES
